customer_id,tenure_months,monthly_charges,contract_type,churned,support_calls,satisfaction,region,paperless
C00000,11,101.06,Month-to-month,Yes,1,4.0,West,No
C00001,22,80.32,Two year,No,3,,North,No
C00002,11,63.44,One year,Yes,2,2.0,West,Yes
C00003,15,51.95,Month-to-month,No,1,4.0,West,No
C00004,44,53.45,One year,No,0,5.0,South,No
C00005,20,31.22,One year,Yes,6,3.0,West,No
C00006,15,81.01,One year,Yes,2,2.0,East,Yes
C00007,22,35.14,One year,Yes,1,1.0,East,Yes
C00008,56,69.16,One year,No,2,4.0,North,No
C00009,32,44.81,Two year,No,1,3.0,North,No
C00010,43,38.32,One year,No,3,2.0,East,Yes
C00011,2,64.29,Two year,Yes,0,1.0,South,Yes
C00012,38,57.99,One year,No,1,5.0,West,No
C00013,19,75.09,Two year,Yes,2,5.0,North,No
C00014,72,37.18,Two year,No,3,3.0,West,No
C00015,72,60.37,Month-to-month,No,2,2.0,East,No
C00016,72,31.02,Month-to-month,No,4,4.0,West,No
C00017,26,24.68,One year,No,1,5.0,West,Yes
C00018,33,106.37,Month-to-month,Yes,2,3.0,West,Yes
C00019,27,101.5,One year,No,3,1.0,South,Yes
C00020,9,65.67,One year,Yes,3,1.0,East,No
C00021,22,45.17,Two year,No,6,1.0,North,No
C00022,15,68.63,Month-to-month,Yes,3,3.0,South,No
C00023,11,79.72,One year,Yes,4,3.0,South,No
C00024,3,64.74,Month-to-month,Yes,0,3.0,South,No
C00025,38,78.28,Month-to-month,No,0,4.0,East,No
C00026,20,73.77,Month-to-month,No,3,1.0,North,No
C00027,21,63.76,Month-to-month,No,0,5.0,East,Yes
C00028,42,64.53,Month-to-month,No,6,2.0,South,No
C00029,42,69.28,One year,No,4,3.0,North,No
C00030,17,46.42,One year,Yes,1,2.0,East,No
C00031,27,82.13,Month-to-month,Yes,3,2.0,West,No
C00032,47,65.51,Month-to-month,No,2,5.0,East,No
C00033,25,76.29,Month-to-month,No,3,1.0,North,Yes
C00034,14,84.91,Two year,No,2,3.0,East,Yes
C00035,72,56.97,Two year,No,3,3.0,East,No
C00036,43,90.56,Month-to-month,No,2,3.0,East,No
C00037,30,41.74,Month-to-month,No,2,2.0,South,No
C00038,26,65.53,Month-to-month,No,1,2.0,North,Yes
C00039,25,64.5,One year,No,2,5.0,North,No
C00040,63,108.62,Month-to-month,No,6,2.0,South,No
C00041,61,38.72,Month-to-month,Yes,4,3.0,East,Yes
C00042,45,72.27,Month-to-month,No,2,2.0,East,No
C00043,45,100.22,Month-to-month,No,4,4.0,East,Yes
C00044,14,59.87,Month-to-month,Yes,0,5.0,South,Yes
C00045,39,70.17,Month-to-month,Yes,1,5.0,South,No
C00046,70,69.97,One year,No,1,1.0,North,Yes
C00047,54,77.32,Month-to-month,No,1,1.0,West,No
C00048,30,102.18,Month-to-month,No,2,2.0,South,No
C00049,26,72.07,One year,No,2,3.0,East,Yes
C00050,35,97.9,Month-to-month,No,3,1.0,South,Yes
C00051,30,57.52,One year,No,2,5.0,South,No
C00052,4,46.67,Two year,Yes,0,5.0,North,No
C00053,39,69.94,Month-to-month,No,2,3.0,West,Yes
C00054,33,39.14,Two year,No,2,4.0,North,No
C00055,13,72.7,One year,Yes,0,3.0,West,No
C00056,30,57.05,One year,No,4,4.0,North,No
C00057,26,61.91,Month-to-month,No,2,5.0,North,Yes
C00058,38,82.98,Month-to-month,No,4,1.0,West,No
C00059,42,53.41,Month-to-month,No,3,2.0,West,Yes
C00060,44,73.87,Two year,No,5,3.0,West,Yes
C00061,44,55.39,One year,No,2,5.0,West,No
C00062,38,94.86,Month-to-month,No,2,3.0,South,No
C00063,9,66.93,Month-to-month,Yes,4,2.0,North,Yes
C00064,50,85.37,Month-to-month,No,1,1.0,East,Yes
C00065,23,77.23,Month-to-month,No,0,3.0,East,No
C00066,26,77.39,One year,No,0,2.0,East,Yes
C00067,16,75.98,Month-to-month,No,2,2.0,North,Yes
C00068,23,34.06,One year,No,2,5.0,North,Yes
C00069,60,82.16,One year,No,2,3.0,East,Yes
C00070,49,62.42,One year,No,2,1.0,West,No
C00071,72,74.21,Two year,No,5,1.0,West,No
C00072,16,86.42,Month-to-month,Yes,3,2.0,East,Yes
C00073,49,50.08,One year,No,2,1.0,South,No
C00074,40,47.53,One year,No,1,3.0,South,No
C00075,38,85.8,Month-to-month,No,4,3.0,East,No
C00076,11,68.54,Month-to-month,No,0,,East,No
C00077,36,90.86,Month-to-month,No,7,2.0,North,No
C00078,28,70.79,Month-to-month,No,0,2.0,South,Yes
C00079,11,92.42,Month-to-month,Yes,0,4.0,East,Yes
C00080,45,81.62,Month-to-month,No,3,4.0,West,Yes
C00081,34,69.18,One year,No,2,1.0,West,Yes
C00082,22,67.27,Month-to-month,Yes,2,1.0,West,No
C00083,22,78.18,Month-to-month,No,2,,North,Yes
C00084,55,95.47,Month-to-month,No,1,4.0,South,Yes
C00085,30,73.02,Month-to-month,No,2,2.0,East,No
C00086,44,69.56,Two year,No,1,5.0,West,No
C00087,31,74.83,Month-to-month,No,6,3.0,South,Yes
C00088,10,76.24,Month-to-month,No,6,5.0,West,No
C00089,46,105.02,Month-to-month,No,1,2.0,East,Yes
C00090,35,95.63,Month-to-month,No,2,3.0,East,Yes
C00091,16,65.43,One year,No,4,1.0,East,No
C00092,20,67.86,One year,No,1,5.0,West,No
C00093,56,61.37,Month-to-month,No,2,3.0,East,Yes
C00094,16,60.89,One year,No,0,1.0,East,No
C00095,29,79.57,Month-to-month,No,5,4.0,South,No
C00096,72,75.31,Two year,No,3,5.0,South,No
C00097,47,77.49,One year,No,1,4.0,East,Yes
C00098,52,54.03,Month-to-month,No,3,5.0,West,Yes
C00099,7,81.59,One year,Yes,5,2.0,East,Yes
C00100,5,58.4,Two year,Yes,5,3.0,West,Yes
C00101,41,56.23,Month-to-month,No,1,5.0,East,Yes
C00102,21,84.05,Two year,No,1,4.0,South,No
C00103,19,86.34,Two year,Yes,5,4.0,East,Yes
C00104,4,78.75,Month-to-month,Yes,4,4.0,East,No
C00105,22,76.76,One year,No,2,4.0,West,No
C00106,37,77.81,One year,No,0,1.0,South,Yes
C00107,26,99.12,Month-to-month,No,1,2.0,North,Yes
C00108,36,87.11,Month-to-month,No,4,4.0,North,No
C00109,14,36.1,Two year,Yes,0,2.0,North,No
C00110,36,100.18,One year,No,4,4.0,East,Yes
C00111,70,93.18,Month-to-month,No,3,3.0,West,No
C00112,53,64.83,Month-to-month,No,5,4.0,East,Yes
C00113,35,55.47,Month-to-month,No,3,2.0,North,Yes
C00114,65,69.09,Two year,No,4,2.0,South,No
C00115,19,58.99,One year,Yes,4,4.0,West,No
C00116,42,79.94,Month-to-month,Yes,1,1.0,North,No
C00117,17,73.38,Two year,No,2,2.0,East,No
C00118,22,49.8,Two year,No,3,5.0,South,Yes
C00119,41,53.91,Month-to-month,No,1,1.0,West,Yes
C00120,34,80.94,Month-to-month,No,3,3.0,East,No
C00121,37,54.4,One year,No,1,1.0,East,No
C00122,48,76.63,Month-to-month,No,2,4.0,East,No
C00123,41,49.82,Month-to-month,No,4,1.0,West,Yes
C00124,55,59.46,One year,No,1,3.0,East,Yes
C00125,55,72.87,Two year,No,5,3.0,East,No
C00126,22,84.91,Month-to-month,No,0,4.0,West,No
C00127,10,45.81,Two year,No,4,1.0,East,Yes
C00128,22,38.97,Two year,No,2,3.0,East,No
C00129,21,74.28,Month-to-month,No,3,3.0,South,No
C00130,38,84.1,Month-to-month,No,2,2.0,South,Yes
C00131,5,71.29,One year,Yes,1,2.0,North,No
C00132,33,54.78,One year,No,3,4.0,East,No
C00133,45,79.36,Month-to-month,No,0,3.0,South,No
C00134,72,91.04,One year,No,2,3.0,West,Yes
C00135,33,67.69,One year,No,2,5.0,West,No
C00136,4,34.6,One year,Yes,1,3.0,West,Yes
C00137,37,67.66,One year,No,3,5.0,South,Yes
C00138,3,110.79,Month-to-month,Yes,2,5.0,East,Yes
C00139,48,50.83,Month-to-month,No,2,3.0,West,No
C00140,32,74.54,Month-to-month,No,4,2.0,East,Yes
C00141,24,55.93,Two year,No,3,3.0,East,Yes
C00142,22,61.73,Two year,Yes,1,,South,Yes
C00143,56,67.5,One year,No,0,4.0,South,Yes
C00144,48,94.52,Month-to-month,No,4,2.0,East,Yes
C00145,29,65.53,One year,No,3,5.0,West,Yes
C00146,45,96.99,Month-to-month,No,4,4.0,North,No
C00147,37,71.88,Month-to-month,No,3,3.0,North,No
C00148,42,67.7,Month-to-month,No,2,1.0,North,No
C00149,27,47.95,Two year,No,3,1.0,East,No
C00150,19,41.29,Month-to-month,Yes,1,4.0,South,Yes
C00151,14,68.96,One year,Yes,2,4.0,South,Yes
C00152,23,96.97,Two year,No,2,2.0,West,Yes
C00153,22,72.25,One year,No,3,1.0,North,No
